ID,READER,SUBSET,PROJ.,BOOK ID,CH. TITLE,PROJECT TITLE,SEX,NAME
50776,5731,train-clean-360,4897,721,"4 - ""Birds of a Feather Flock Together""",Birds' Christmas Carol (version 2), F , Andrea Boltz
51162,5809,train-clean-360,4914,3642,10 - Off the Tow-path,Belgian Twins, F , kattekliek
52087,5914,train-clean-360,4949,14681,Gun-fittings and Ammunition,Art of Travel, M , bobbybrill
52195,4438,train-clean-360,4954,1056,12 - Chapter XII,Martin Eden, M , Greg W.
53320,6550,train-clean-360,4997,2048,09 - The Art of Book-making,"Sketch Book of Geoffrey Crayon, Gent.", M , elfpen
53458,5635,train-clean-360,5002,4357,05 - The Enchanted Types,American Fairy Tales, M , Matthew Reece
53638,816,train-clean-360,5008,24022,Stave 05,Christmas Carol (Version 3), M , Jeff Robinson
54006,5975,train-clean-360,5023,1751,04 - The Talisman of Solomon (Part II),Twilight Land, M , Tony Maxey
54108,587,train-clean-100,5031,1839,Chapter XV,Other Things Being Equal, F , Joy Scaglione
54425,5808,train-clean-100,5053,17854,14 - Frankenstein,Sport of the Gods, M , jeandelfrio
54487,6317,train-clean-360,5056,16960,7 - President Wilson and the World War (continued),"History of the United States, Vol. VII", F , Sarah K
54535,5778,train-clean-100,5058,32628,25 - James McNeill Whistler,Child's Book of American Biography, F , Laura Victoria
54613,5940,train-clean-360,5064,29021,03 - Blue Beard,Fairy Tales of Charles Perrault, M , Gargoyle
54659,5868,train-clean-360,5066,4605,03 - Part 1 chapter 3,Basil, M , alwpoe
55088,5868,train-clean-360,5080,1697,Preface,Madam How and Lady Why, M , alwpoe
55202,5968,train-clean-360,5084,362,Old Friends and New,Miss Billy's Decision, F , Cate Barratt
55856,5304,train-clean-360,5106,6955,"Chapter 15, The Honeyed Word",Prince and Betty, M , Don W. Jenkins
55927,5935,train-clean-360,5112,31243,CH.6 SHIPS,Twentieth Century Inventions: A Forecast, M , Mike Okonek
56165,6064,train-clean-100,5121,34944,10 - A Sophomore,"Brenda, Her School and Her Club", F , Deborah Knight
56222,6032,train-clean-360,5123,15419,05 - Letter V Society - Conversation,Letters to a Daughter and A Little Sermon to School Girls, F , Beverly Scott
56574,5189,train-clean-360,5141,18465,"Letter, A","Wit and Humor of America, Vol 02", M , Samanem
56777,6038,train-clean-360,5148,34912,"Woman's Long Struggle for Things of the Mind, Part 2",Woman in Science, F , Sirmelja
56837,5984,train-clean-360,5150,171,24 - Mystery Developed,Charlotte Temple, F , sbburke
57154,6075,train-clean-360,5163,5118,11 - Volume I Chapter 11,American Senator, M , Rob Smith
57405,6319,dev-clean,5170,11582,04 - The Flood,Old Greek Stories, F , thestorygirl
57446,6476,train-clean-100,5171,13015,"The Eta Maiden and the Hatamoto, part 2",Tales of Old Japan, F , Viridian
57667,6499,train-clean-360,5185,27435,"28 - Chapter 26, Part 2 - The Sacrament of Penance: On The Relative Morality Of Catholic And Protestant Countries",Faith of Our Fathers, M , dave7
57831,6006,train-clean-360,5195,19910,"18 - Haig, part 2",Boys' Book of Famous Soldiers, F , Stephanie Lee
58012,6080,train-clean-360,5204,6711,Chapter 01,Philip Dru: Administrator, M , progressingamerica
58090,6060,train-clean-360,5206,273,0 - Preface,Smalcald Articles, M , Jonathan Lange
58137,5635,train-clean-360,5208,18734,Selecting the Faculty,"Wit and Humor of America, Vol 03", M , Matthew Reece
58192,6032,train-clean-360,5209,24968,Ch. 1 - Where I was Born,Behind the Scenes, F , Beverly Scott
58433,6115,train-clean-360,5216,3030,10 - The Escape,Tavern Knight, M , MitchHerd
58763,5809,train-clean-360,5227,33405,14 - Air - Chapter XIV. How Dew is Formed,"Nature's Miracles: Familiar Talks on Science, Vol. 1.", F , kattekliek
58843,6104,train-clean-360,5229,21647,Chapter 1,Subspace Survivors, F , Juliana M.
58868,6139,train-clean-360,5232,15741,01 - The Invitations Are Sent,Little Colonel's House Party, F , Lois C. Johnson
59157,7148,train-clean-100,5244,12600,08 - Ch.5.i - Keats: 1. The Biography,Old and New Masters, F , Vickie Ranz
59234,6037,train-clean-360,5246,35211,15 - Above All Let Us Never Forget!,War, M , bish
59268,5883,train-clean-360,5247,18776,The Shooting-Match,"Wit and Humor of America, Vol 04", M , Jerry Romero
60480,6006,train-clean-360,5289,35450,Siamese Cat,Our Cats and All About Them, F , Stephanie Lee
60774,6494,train-clean-360,5297,3439,10 - Three Hundred and Ninety-third Night to Three Hundred and Ninety-sixth Night,"Book of a Thousand Nights and a Night (Arabian Nights), Volume 05", M , Morey Kunin
61316,6782,train-clean-360,5317,16653,03 - Chapter 2: The Land of Rivers and the God of the Deep,Myths of Babylonia and Assyria, F , zcameo
61356,5968,train-clean-360,5318,35486,The Dance,Great Gold Rush: A Tale of the Klondike, F , Cate Barratt
61421,5717,train-clean-360,5319,361,15 - After the Storm,Miss Billy Married, M , Phil Chenevert
61741,6233,train-clean-360,5326,35587,037 - A Man Missing.,Headless Horseman - A Strange Tale of Texas, F , Gen Jones
61943,6241,dev-clean,5332,18857,Our Voyage to Iceland,Journey to the Centre of the Earth, M , badey
62014,5456,train-clean-100,5333,19323,The Woman Who Married an Owl,"Wit and Humor of America, Vol 05", M , e_scarab
62347,6215,train-clean-360,5343,34000,29 - Mrs. Prime Reads Her Recantation.,Rachel Ray, F , Janet248
62516,6510,train-clean-360,5350,1268,09 - Volume I Chapter 9,Mysterious Island (version 2), M , JimD
62850,6330,train-clean-360,5361,35679,With A Stein on the Table,Pieces of Hate and other Enthusiasms, M , David Cummings
63095,5984,train-clean-360,5372,5874,11 - Not Pats But Scratches,Dawn, F , sbburke
63713,6371,train-clean-360,5394,16127,King's Dagger,Diamond Cross Mystery, F , Rebecca King
63821,6563,train-clean-100,5397,20064,"Peter Force, Printer",Captains of Industry, M , William Tomcho
63885,5985,train-clean-360,5400,8101,"Cope Is ""Entertained""",Bertram Cope's Year, M , James K. White
64025,5694,dev-clean,5405,13202,02 - Shiloh,"'Co. Aytch,' Maury Grays, First Tennessee Regiment or, A Side Show of the Big Show", M , Winston Tharp
64075,5319,train-clean-360,5407,34259,"18 - Part III: Dog Lore, Chapter 18: The Dog on the Trap Line",Hunting Dogs, M , Guero
64257,6345,dev-clean,5410,8201,12 - Mary's Dream,Mary Marston, F , Jean Bascom
64588,7030,train-clean-360,5424,19209,15 Chapter XIV,Andes and The Amazon, M , Conrad T
64708,6189,train-clean-360,5428,14916,03 - The Enchanted Stag (Grimm's Fairy Tales),Fairy Tales Every Child Should Know, F , Shana Cohen
64956,6341,train-clean-360,5439,9963,01 - Chapter 1,Elsie's Girlhood, F , Tiffany J. Kim
65534,6339,train-clean-360,5458,24876,Her Own People,"Lucy Maud Montgomery Short Stories, 1905-1906", F , Michelle Remington
65772,6373,train-clean-360,5468,2147,"The Unparalleled Adventures of One Hans Pfaal, Part 1","Works of Edgar Allan Poe, Raven Edition, Volume 1", F , Sandie Guenther
65803,5489,train-clean-360,5469,3529,Letter 3,"Letters Written During a Short Residence in Sweden, Norway and Denmark", F , LizMourant
66016,6330,train-clean-360,5481,35793,22 - Holding a Baby,Seeing Things at Night, M , David Cummings
66125,6313,dev-clean,5485,6067,08 - A Daring Rescue,Pony Rider Boys in the Rockies, F , Jennifer Wiginton
66166,5868,train-clean-360,5487,1948,03 - On Board the Typhoon,Story of a Bad Boy, M , alwpoe
66347,5802,train-clean-360,5493,19324,"Genial Idiot Discusses the Music Cure, The","Wit and Humor of America, Vol 06", M , Christopher Maust
66464,6518,train-clean-360,5496,1953,05 - May,Diary of an Old Soul, F , Wayfarer
66616,6241,dev-clean,5500,12170,02 - How Wabigoon Became a White man,Wolf Hunters, M , badey
67147,6509,train-clean-360,5516,6500,3 - Chapter III,Log-Cabin Lady, F , Marianna Foos
67153,3242,train-clean-100,5517,21959,03 - Letter 3,Letters from a Self-Made Merchant to His Son, M , peac
67200,7134,train-clean-360,5519,26500,03 - Introduction - Part 3,Anecdotes of Dogs, M , Steve Jackson
67584,6575,train-clean-360,5529,23449,05 - Familiar Incidents: My Unknown Friend,Behind the Beyond, M , Patrick Painter
67851,6643,train-clean-360,5538,5696,08 - A Twilight Tea-Party,Yankee Girl at Fort Sumter, F , cbooren
68188,5588,train-clean-360,5555,965,18 - Rosa's Lover,Black Tulip, F , Gail Timmerman Vaughan
68344,3171,train-clean-360,5564,28340,The Pearl of the Orient - Philippines,Birdseye Views of Far Lands, M , JoeD
68762,1649,train-clean-360,5579,13110,03 - DON QUIXOTE,Aunt Jane's Nieces at Work, F , Kalynda
68888,6215,train-clean-360,5584,2293,03 - The Hymn-Book,New England Girlhood: Outlined From Memory, F , Janet248
69411,6519,train-clean-360,5599,5121,04 AND WHERE WAS I WHEN ALL THIS HAPPENED?,Dark Hollow, F , Monica Knuppe
69550,6099,train-clean-360,5603,5960,Chapter 2,Little Sister Snow, F , Cheri Gardner
69607,6637,train-clean-360,5608,13782,chapter 6,Lady Rose's Daughter, F , Christine Nendza
70168,6272,train-clean-100,5635,12347,11 - Chapter XI,Morgesons, F , jlenardon
70653,5789,train-clean-100,5662,21854,The Inquest,Trent's Last Case (Version 2), F , Kirsten Wever
70753,6574,train-clean-360,5668,84,14,"Frankenstein, or the Modern Prometheus (version 3)", M , Caden Vaughn Clegg
70837,6694,train-clean-360,5671,3076,"05 - The Fall of the Provisional Gov't, Part 1",Ten Days that Shook the World, M , Ross Williamson
70919,5538,train-clean-360,5675,12672,"04 - ""From the Depths of his Love""",Spinner in the Sun, F , Linda Velwest
70968,61,test-clean,5680,28700,04 - Chapter 4,Robin Hood., M , Paul-Gabriel Wiener
71320,5968,train-clean-360,5691,10377,"13 (Time passed on: ... ""from which you would save him."" (2161 words))",Evil Guest, F , Cate Barratt
71401,6701,train-clean-360,5695,16204,10 - An Affair of the Heart,Mansion of Mystery, M , Dayle
71531,3703,train-clean-360,5702,18945,Chapter XV,Robin, F , Linda Andrus
72200,7285,train-clean-360,5733,14874,16 - Chapter 15,Elsie's Womanhood, F , Christina M. Glavas
72311,6673,train-clean-360,5737,36638,31 - Aunt Joanna,Book of Ghosts, F , Jenna Lanman
72637,4267,train-clean-100,5754,25493,Durham,Cathedral Courtship, M , Ric F
72876,5002,train-clean-360,5763,5734,15 CHOICE OF PUNISHMENTS,Life in the Grey Nunnery at Montreal, M , Brendan Stallard
72927,1259,train-clean-360,5766,3261,"Chapter 13, Concerning Politics and Chapter 14, How Matters Are Arranged",News From Nowhere, F , Elizabeth Klett
73024,6188,train-clean-360,5770,15766,18 - 'Judge Not That Ye Be Not Judged',Claverings, F , Roxanna Nazari
73073,6690,train-clean-360,5771,1046,"03 -- Ch Second, Parts 1-3","God, the Invisible King", M , T Michael Burke
73295,6696,train-clean-360,5781,13028,"A Well-Matched Sister and Brother, from Northanger Abbey","Library of the World's Best Literature, Ancient and Modern, volume 3", F , Katryn Wiese
73712,64,train-clean-360,5794,19771,"32 - Book IV, Chapter III",Henrietta Temple, F , Robin Cotter
73846,5570,train-clean-360,5796,3075,Chapter 8,Return (de la Mare version), F , Corinna Schultz
73957,4434,train-clean-360,5800,36279,Chapter VI Part Two May,"Wood and Garden: Notes and Thoughts, Practical and Critical, of a Working Amateur", F , Sarah Nuxoll
74004,6367,train-clean-100,5801,24877,The Old Fellow's Letter,"Lucy Maud Montgomery Short Stories, 1907-1908", M , Vince Dee
74477,3584,train-clean-360,5816,33927,Dolly's Lesson,Not Quite Eighteen, F , Bridget Gaige
74797,6763,train-clean-360,5826,7401,06-Chapter 6,Crystal Age, F , Manjit Bains
75242,1212,train-clean-360,5838,24482,08 - Zip at the Candy Pull,"Zip, the Adventures of a Frisky Fox Terrier", F , Lee Ann Howlett
75355,6286,train-clean-360,5843,15000,"Volume II: Reason in Society. Chapter 4: The Aristocratic Ideal, part 2",Life of Reason volume 2, F , Wendy Almeida
75791,5672,train-clean-360,5858,3440,11 - Five Hundred and Sixty-sixth Night,"Book of A Thousand Nights and a Night (Arabian Nights), Volume 06", M , Jacob Paul Starr
75918,6930,test-clean,5863,2681,11 - Night,Ten Years Later, M , Nolan Fout
76043,5802,train-clean-360,5864,1734,09 - Ch Fifth Sec 3-4,Secret Places of the Heart, M , Christopher Maust
76250,4441,train-clean-100,5874,37039,09 - Bills of Exchange,Red Room, M , William Peck
76324,6930,test-clean,5878,30905,07 - Goliath Makes Another Discovery,Boarded Up House, M , Nolan Fout
76549,6836,train-clean-100,5887,5136,"IV: From the Great Plains to the Atlantic, Part 2","Around the World on a Bicycle, Vol. 1", M , John
76958,6313,dev-clean,5898,20087,04 - The First Night in Camp,Pony Rider Boys in Texas, F , Jennifer Wiginton
77173,3645,train-clean-360,5906,34130,27 - The Imposter,Princess Galva, F , MaryAnn
77361,6877,train-clean-360,5918,3797,"16 -- Bk First, Ch Fifth, Sec 3-5",In the Days of the Comet, M , Bear Schacht
77778,7247,train-clean-360,5938,35302,13 - He Discusses the Music Cure,Genial Idiot, M , Robert Hoffman
77897,7059,train-clean-100,5943,7502,09 - Chapter 9,Annie Kilburn, F , Joannemmp
78186,4267,train-clean-100,5955,24432,"Road to a Woman's Heart, The","Wit and Humor of America, Vol 08", M , Ric F
78885,6188,train-clean-360,5983,37437,chapter 9,Wanderer, F , Roxanna Nazari
79730,7021,test-clean,6024,11667,01 - Three Modes of Management,Gentle Measures in the Management and Training of the Young, M , Nodo420
79973,6877,train-clean-360,6031,37381,27 - The Salad,Snowdrop and Other Tales, M , Bear Schacht
80189,4519,train-clean-360,6036,30092,07  Gipsy,Lords of the Housetops: Thirteen Cat Tales, F , Mimi Wang
80534,7910,train-clean-360,6050,4301,Chapter 27: Clara's Return,Nether World, F , southernemma
80656,7229,train-clean-360,6054,2691,17 - Spring in the Big Woods,Nan Sherwood at Pine Camp, F , Linda Ciano
80680,6925,train-clean-100,6056,27826,06 - Jackal or Tiger?,Olive Fairy Book, M , Thomas Meaney
81414,6930,test-clean,6075,13158,Dark Dreams and Night Shadows,Weapons of Mystery, M , Nolan Fout
81843,6538,train-clean-360,6091,5207,"12 - Ch 7: The Messenger, part 2",Guns of Shiloh, M , Juan Federico
81870,6956,train-clean-360,6092,4379,08 - Chapter 8,Fortunate Youth, M , DannyHauger
82020,5293,train-clean-360,6097,8913,3 - Part 3,Cruel Painter, M , Ned Troxel
82458,2156,train-clean-360,6111,38039,09 - Chapter 9,Billy the Kid, M , Roger Melin
82558,6553,train-clean-360,6116,12383,Book Ninth - Residence in France,Prelude, M , DublinGothic
82904,7188,train-clean-360,6129,9267,08 - Prescriptions,"Chip, of the Flying U", M , Marty
82991,7148,train-clean-100,6132,2866,02 - Chapter II,"Windsor Castle, Book 1", F , Vickie Ranz
83606,6993,train-clean-360,6151,19347,05-Chapter 2. Part 1,Myths of the New World, M , Seyed
83633,6352,train-clean-360,6153,2614,"02 - Chapter XXIV, Part 2","History of England, from the Accession of James II - (Volume 5, Chapter 24)", F , stmacduff
83696,7000,train-clean-360,6157,38188,20 - Willyum,Amusement Only, M , Kevin Alix
84010,7384,train-clean-360,6163,1574,08 - JACQUELINE OF HOLLAND: THE GIRL OF THE LAND OF FOGS,Historic Girls, F , Diana Dolan
84121,7128,train-clean-360,6166,33277,11 - The Strangeness of John Dene,John Dene of Toronto; a Comedy of Whitehall, M , morganreads
84280,174,dev-clean,6172,30340,The Arraignment of Jealousy,Passionate Friends, M , Peter Eastman
84349,6395,train-clean-360,6175,35710,THE FALSE DAUPHINS IN FRANCE,Claimants to Royalty, M , Richard Carpenter
84447,1638,train-clean-360,6178,46,04 - Stave IV: The Last of the Spirits,Christmas Carol (version 5), M , Kyle M.
85628,7021,test-clean,6218,26177,20 - Anders' New Cap,Book of Stories for the Storyteller, M , Nodo420
85684,6294,train-clean-360,6219,19229,14 -- Chapter 7 B,Anticipations, M , humanode
86026,7294,train-clean-360,6228,3282,10 - The Sacred Milk of Koumongoe,Brown Fairy Book, F , Muriel
86588,2758,train-clean-360,6256,17749,Chapter VIII.--The Constructive Faculties,Mystic Will, F , SopranoHarmony
86679,6294,train-clean-360,6262,35862,05 - Conall Yellowclaw,Celtic Folk and Fairy Tales, M , humanode
86708,6395,train-clean-360,6263,1184,Chapter IV - Conspiracy,Count of Monte Cristo (version 2), M , Richard Carpenter
86964,7226,train-clean-100,6269,38556,"09 - The Rock River, CHAPTER VII.  Storm-Bound at Erie",Historic Waterways, M , Jonathan Moore
87280,7145,train-clean-360,6279,17498,07 - Chapter VII. Love's Fierce Sweetness,When Knighthood Was in Flower, F , Lita Ledesma
87508,6499,train-clean-360,6290,33701,2 - Chapters 9-17,Fraternal Charity, M , dave7
87547,3977,train-clean-360,6294,29734,"PART II, Sect. VI. Of Fixed Air, Sect. VII. Miscellaneous Experiments",Experiments and Observations on Different Kinds of Air, M , LivelyHive
87732,6927,train-clean-360,6306,34181,05 - Chapter V,Irene Iddesleigh, F , Sarika Pawar
87766,5190,train-clean-360,6308,38117,00 - Introductory,Book of Life, M , Rom Maczka
87997,6395,train-clean-360,6320,19211,02 - Letter from Adam Smith,"History of England from the Invasion of Julius Caesar to the Revolution of 1688, Volume 1A", M , Richard Carpenter
88083,7176,test-clean,6322,38675,10 - The Fisher in the Chutes,Hoof and Claw, M , KalenXI
88089,6406,train-clean-360,6323,7437,01 - Rosalie,Peep Behind the Scenes, F , Abigail Rasmussen
88349,4331,train-clean-360,6329,13029,BOOK II - THE UNCHALLENGED OUTLINE OF PHOTOPLAY CRITICAL METHOD / CHAPTER I - THE POINT OF VIEW,Art of the Moving Picture, F , Barbara Clements
88483,7095,train-clean-360,6334,20248,05 - The Persistence of Religion,Necessity of Atheism, M , Wesseling
88748,7139,train-clean-360,6347,11097,7 - Chapter VII,Young Robin Hood, M , gabrielv
88761,2269,train-clean-360,6349,1273,My Second Stage,Autobiography of a Slander, F , Rhonda Federman
89388,8194,train-clean-360,6375,7031,21 -- Chapter 8A,Sheik, F , MsMO
89735,7169,train-clean-360,6388,9378,03 - A Point of Interrogation,Lone Wolf, M , Ryan Ransom
89880,7395,train-clean-360,6395,38326,"09 - Book II, Chapters 4-9",Bede's Ecclesiastical History of England, F , Katherine
89940,6406,train-clean-360,6397,24160,07 - Chapters XIII & XIV,Basket of Flowers, F , Abigail Rasmussen
90542,7190,train-clean-100,6419,34468,02 - The Identity of the Final Victim,Christopher Quarles College Professor and Master Detective, M , Tony Posante
90847,7276,train-clean-360,6433,19207,06 - MARIANNA,Firelight Fairy Book, F , ASPotter
91072,7313,train-clean-360,6442,35950,15 - Horace Greeley,Lives of Poor Boys Who Became Famous, M , Mark DeVol
91098,6499,train-clean-360,6443,38355,10 - Additions,Light and Peace: Instructions for Devout Souls to Dispel Their Doubts and Allay Their Fears, M , dave7
91186,7447,train-clean-100,6448,18284,06 - The Piano and Piano Players,For Every Music Lover, M , dasbury
91208,4788,train-clean-100,6450,15268,His Work in Philosophy,John Stuart Mill; His Life and Works, M , Bill Boerst
91801,7090,train-clean-360,6479,5720,2 - A Shropshire Lad Part 2 of 2,Shropshire Lad (version 2), M , Jon Sindell
91902,7258,train-clean-360,6484,39119,"07 - Jesus: As God, As a Man",Satires and Profanities, M , acloward
92002,7460,train-clean-360,6487,5202,15 - Chapter XV,Golden Lion of Granpere, M , Larry Beasley
92135,7176,test-clean,6493,13441,01 - THE COMPLETE DRAMATIST,Sunny Side, M , KalenXI
92200,7240,train-clean-360,6494,25907,02 - Early Hardships,Indian Child Life, F , Lucretia B.
92310,7264,train-clean-100,6499,18018,05 - Chapter 5,Free Press, M , Sean McClain
92420,6788,train-clean-360,6502,8642,Ellen,Woman in the Nineteenth Century, F , Pamela Krantz
92805,6895,train-clean-360,6514,2776,03 - A COSMOPOLITE IN A CAFE,Four Million (Version 2), F , Reeses118
92915,7525,train-clean-360,6518,25652,Mohammed,Treasury of Heroes and Heroines, F , Jeannie Tirado
93276,7314,train-clean-360,6528,3005,07 - Andy Tries a Trick,Tom Swift and his Airship, M , Rick Cahill
93302,6345,dev-clean,6530,39324,01 The Unfaithful Lover,Literary Sense, F , Jean Bascom
93470,7932,train-clean-360,6540,39374,Ruth Powlett Confesses,Curse of Carne's Hold, F , Tammy Stalcup
93938,6454,train-clean-100,6563,25333,11 The Letters Change Hands Again,Great K. & A. Train-Robbery, M , David Wales
94108,7247,train-clean-360,6576,29306,03 - Chapter III,Afloat on the Ohio, M , Robert Hoffman
94522,7445,train-clean-360,6598,19212,"Chapter 17, part 01","History of England from the Invasion of Julius Caesar to the Revolution of 1688, Volume 1B", F , Emily Anderson
94876,5717,train-clean-360,6606,485,11 - Johnny Dooit Does It,Road to Oz version 2, M , Phil Chenevert
94904,4788,train-clean-100,6608,5669,07 - Chapter 4A,Considerations on Representative Government, M , Bill Boerst
95441,7383,train-clean-360,6627,9908,08 - Off Nantucket,False Faces, F , Meg Cowan
95870,4731,train-clean-360,6642,8660,10-	Contraceptives or Abortion?,Woman and the New Race, F , Becky Cook
95959,6865,train-clean-360,6647,10056,Book 3,Analects of Confucius, F , Jing Li
96151,7318,train-clean-360,6654,11229,02 - Section 02,Purple Cloud, F , Anise
96241,6788,train-clean-360,6655,38427,29 - Fourth Book. The World As Will. Second Aspect.Paragraph 53,World as Will and Idea Volume 1, F , Pamela Krantz
96498,4586,train-clean-360,6668,5965,Part 1. The Devolutionist. Chapter13. THE REBEL,Devolutionist and the Emancipatrix, M , Chris Caron
96661,6476,train-clean-100,6675,2395,Part 1 Ch. 4: The Assembling of the Heroes and the Building of the Ships,Golden Fleece and the Heroes Who Lived Before Achilles, F , Viridian
97593,5740,train-clean-360,6709,5061,Jimmy Scarecrow's Christmas,Children's Book of Christmas Stories, F , Alisa
98644,7478,train-clean-360,6741,32449,"Life in the Cities, Part 1",Japanese Girls and Women, M , Dan Froese
98876,7398,train-clean-360,6749,26020,Section Six,Apis Mellifica, F , Marie Daum
99122,7498,train-clean-360,6754,39843,Lady Jane Grey,Women of History, F , MarianneVictoria
99249,7437,train-clean-360,6756,39971,02 - Links with the Past,Bonaparte in Egypt and the Egyptians of To-day, M , Graham McMillan
100043,7538,train-clean-360,6784,951,22 - Off to the Meet,Tom Swift and His Sky Racer, M , Logan West
100145,5717,train-clean-360,6790,20726,05,Slave Is a Slave, M , Phil Chenevert
100289,5750,train-clean-100,6794,27448,08 - Chapter 8 - The Indian in College and the Professions,Indian To-day, M , laurencetrask
100429,7517,train-clean-100,6800,5803,09 - The Pond,Not That It Matters, F , Raz Mason
100596,6415,train-clean-100,6808,21639,The Elusive Kate Ferris,When Patty Went to College, F , Daryl Wor
101258,7540,train-clean-360,6835,641,03 - The Story of Three Wonderful Beggars,Violet Fairy Book, M , Christopher Webber
101578,7705,train-clean-360,6842,1014,FOLLOWING THE DIM TRAILS!,Lure of the Dim Trails, M , Timothy Luke
101799,7540,train-clean-360,6852,25817,Chapter I - The Story of the Buried Treasure,Cruise of the Esmeralda, M , Christopher Webber
101832,7594,train-clean-360,6853,37472,02 The Hare and the Lion,Zanzibar Tales, F , Kristel Tretter
101854,5660,train-clean-360,6856,36401,02 - Chapter 2,Turn Of The Tide, F , hollz
102232,7569,train-clean-360,6867,6812,02 - Indiana,Abraham Lincoln: A History (Volume 1), M , Stephen L. Moss
102381,7991,train-clean-360,6873,19831,"32 - Appendix F, Part 2","Rise and Fall of the Confederate Government, Volume 1a", M , Aaron Weber
102419,7511,train-clean-100,6874,28572,08 - Elizabeth's Romance,Letters on an Elk Hunt, F , Sherri Vance
102518,7859,train-clean-100,6876,37756,12 - The Coming of the Saracens,Byzantine Empire, F , xinamarieuhl
102612,7495,train-clean-360,6880,8874,30 - Disclosures - By Mr. Skillcorn,Queechy, F , Arlene Joyce
103120,7789,train-clean-360,6906,36221,04 - Onawandah,Spinning-Wheel Stories, F , Lauren Jane
103416,4018,train-clean-100,6916,1693,05 - Chapter V,Dangerous Days, M , Nicholas Clifford
103481,1066,train-clean-360,6917,16064,The Last Crew,Carolina Chansons: Legends of the Low Country, F , Laurie Anne Walden
104391,7802,train-clean-360,6946,10463,CHAPTER X: ON THE GRAY WALL,Little House in the Fairy Wood, F , Samantha J Gubitz
104483,7460,train-clean-360,6951,12234,10 - Sir Magnus Mountjoy,Mr Scarborough's Family, M , Larry Beasley
104606,4145,train-clean-360,6952,40453,06 - The Long Arm Of Coincidence,Tom Ossington's Ghost, F , Patti Cunningham
104637,7188,train-clean-360,6953,6068,06 - Lost in the Rosebud Range,Pony Rider Boys in Montana, M , Marty
104717,7657,train-clean-360,6958,20183,01 - Chapter 1A,John Quincy Adams, F , shalclark
104886,7245,train-clean-360,6964,2679,0 - Preface,Poems: Series Two, F , Laura Atkinson
104978,7665,train-clean-360,6968,4767,01 - A Spy's Duty,Mayor's Wife, M , Christian Mitchell
105167,7720,train-clean-360,6974,1401,12 - The Black Flier,Tarzan the Untamed, M , jeffwiltzius
105383,7754,train-clean-360,6984,60,04 - THE LEAGUE OF THE SCARLET PIMPERNEL,Scarlet Pimpernel (Version 2), F , Iridescat
105574,7881,train-clean-360,6994,40477,Chapter 2,With Fire and Sword (Byers), M , Sam Naishtat
105661,7635,train-clean-100,6999,19213,"Chapter 29, part 1","History of England from the Invasion of Julius Caesar to the Revolution of 1688, Volume 1C", F , Judy Guinan
106366,7777,train-clean-360,7028,830,"03 - Book 1, part 3",Argonautica, M , Jacob Paine
106611,6060,train-clean-360,7044,1911,4 - Conclusion,Concerning Christian Liberty, M , Jonathan Lange
106800,7733,train-clean-360,7055,38840,02 - Rounding Up Indians,Adventures of Buffalo Bill, F , Jewel Raquel
106965,7704,train-clean-360,7066,10880,An Antagonist,"Teddy's Button, Version 2", M , Robert Harder
107247,667,train-clean-360,7080,13415,7 - The Husband,Lady With the Dog and Other Stories, F , Bethany Simpson
107312,4018,train-clean-100,7084,3760,"15 - Book II, chapter ix","Sybil, or the Two Nations", M , Nicholas Clifford
107462,6454,train-clean-100,7089,9363,"Backstairs of the Mind, The",Best British Short Stories of 1922, M , David Wales
107479,479,train-clean-360,7090,30853,03 - The Adventure of Mrs.Gaster's Maid,Mrs. Raffles, F , wedschild
107517,7732,train-clean-360,7093,40591,"04 - Chapter 2 - The Fight for the Constitution, Part 2",Alexander Hamilton, M , Daniel Vimont
107621,5909,train-clean-360,7101,6069,07 - Boys and Ponies Strangely Missing,Pony Rider Boys in the Ozarks, M , Mark Mickelson
108005,8097,train-clean-360,7129,3600,15 - OF THE INCONVENIENCE OF GREATNESS,Essays book 3, F , lewildesen
108066,7240,train-clean-360,7132,17504,03 - Simeon Stylites the Syrian,Mintage, F , Lucretia B.
108620,7816,train-clean-360,7152,2149,"The Narrative of Arthur Gordon Pym of Nantucket, Chapter 10","Works of Edgar Allan Poe, Raven Edition, Volume 3", F , Stefanie Heinrichs
109173,7837,train-clean-360,7174,40921,01 - LIFE,Grim: The Story of a Pike, M , Alfian
109507,5304,train-clean-360,7188,13372,Chapter VI The Scream in the Night,Gloved Hand, M , Don W. Jenkins
109656,7688,train-clean-360,7199,2295,02 - Round The Circle,Waifs and Strays, M , Leslie Walden
110054,7982,train-clean-360,7213,40901,"05 - Part 1, Chapter 4 - Of Propriety as Regards One's Self",Gentleman and Lady's Book of Politeness and Propriety of Deportment, F , Lori Arsenault
110124,7976,dev-clean,7215,34431,13 - The Little Maid Who Was Wise,Islands of Magic, M , JenniferRutters
110238,8050,train-clean-360,7225,2852,04 - Sir Henry Baskerville,Hound of the Baskervilles (version 3), M , Jake Woldstad
110520,8142,train-clean-360,7239,15145,Princess Goldenhair,My Book Of Favourite Fairy Tales, M , Timothy Lucas
110705,7868,train-clean-360,7253,16247,"03 - The King Of The Golden River Or The Black Brothers by John Ruskin, Part 2",Famous Stories Every Child Should Know, F , Chessie Joy
111574,6788,train-clean-360,7300,10513,"11 - SHELLS AND THEIR BUILDERS, part 2",On The Seashore, F , Pamela Krantz
