Title,Poet,urls
The Nineteenth Century as a Song,Robert Hass,https://www.poetryfoundation.org/poems/47807/the-nineteenth-century-as-a-song
Venice Beach,Michael Hofmann,https://www.poetryfoundation.org/poetrymagazine/poems/56086/venice-beach
Subway Seethe,J. Allyn Rosser,https://www.poetryfoundation.org/poetrymagazine/poems/12543/subway-seethe
The Love Song of J. Alfred Prufrock,T. S. Eliot,https://www.poetryfoundation.org/poetrymagazine/poems/44212/the-love-song-of-j-alfred-prufrock
Mother of People without Script,Mai Der Vang,https://www.poetryfoundation.org/poetrymagazine/poems/91682/mother-of-people-without-script
American Income,Afaa Michael Weaver,https://www.poetryfoundation.org/poetrymagazine/poems/49296/american-income
At Twilight on the Road to Sogamoso,Maurice Kilwein Guevara,https://www.poetryfoundation.org/poems/56864/at-twilight-on-the-road-to-sogamoso
Eating Poetry,Mark Strand,https://www.poetryfoundation.org/poems/52959/eating-poetry
Your Kingdom,Eleni Sikelianos,https://www.poetryfoundation.org/poems/145220/your-kingdom
Late March,Edward Hirsch,https://www.poetryfoundation.org/poetrymagazine/poems/49643/late-march
Lies and Longing,Linda Gregg,https://www.poetryfoundation.org/poems/52234/lies-and-longing
On the Great Atlantic Rainway,Kenneth Koch,https://www.poetryfoundation.org/poems/52926/on-the-great-atlantic-rainway
Have You Prayed?,Li-Young Lee,https://www.poetryfoundation.org/poems/52208/have-you-prayed
The Magic of Numbers,Kenneth Koch,https://www.poetryfoundation.org/poems/52924/the-magic-of-numbers
"Little Albert, 1920",Joyce Carol Oates,https://www.poetryfoundation.org/poetrymagazine/poems/150929/little-albert-1920
Three Persons,Vijay Seshadri,https://www.poetryfoundation.org/poetrymagazine/poems/54228/three-persons-56d23456ae863
January Drought,Conor O'Callaghan,https://www.poetryfoundation.org/poetrymagazine/poems/52250/january-drought
The Land of Nod,James Arthur,https://www.poetryfoundation.org/poetrymagazine/poems/54655/the-land-of-nod-56d23541314b1
How to be Happy in 101 Days,Tishani Doshi,https://www.poetryfoundation.org/poems/152737/how-to-be-happy-in-101-days
Instead of Bad News about a Person I Love,Jack Underwood,https://www.poetryfoundation.org/poetrymagazine/poems/90942/instead-of-bad-news-about-a-person-i-love
Rock Records,Joyce Peseroff,https://www.poetryfoundation.org/poems/57964/rock-records
[Immigration Headline],Javier Zamora,https://www.poetryfoundation.org/poetrymagazine/poems/150067/immigration-headline
[Immigration Headline],Javier Zamora,https://www.poetryfoundation.org/poetrymagazine/poems/150066/immigration-headline-5ce31b771668c
[Immigration Headline],Javier Zamora,https://www.poetryfoundation.org/poetrymagazine/poems/150065/immigration-headline-5ce31b094388a
My Shoes,Charles Simic,https://www.poetryfoundation.org/poems/42948/my-shoes
Sonnet,Robert Hass,https://www.poetryfoundation.org/poems/49594/sonnet-56d22bd68084f
"Elsewhere, Mon Amour",Nick Flynn,https://www.poetryfoundation.org/poems/51622/elsewhere-mon-amour
Weighing Light,Geoffrey Brock,https://www.poetryfoundation.org/poems/50895/weighing-light
Samba in the Sky,Tiffany Higgins,https://www.poetryfoundation.org/poetrymagazine/poems/56556/samba-in-the-sky
Now and Then,James Schuyler,https://www.poetryfoundation.org/poetrymagazine/poems/31032/now-and-then
Dismantling the House,Stephen Dunn,https://www.poetryfoundation.org/poetrymagazine/poems/41749/dismantling-the-house
Releasing the Sherpas,Campbell McGrath,https://www.poetryfoundation.org/poetrymagazine/poems/55793/releasing-the-sherpas
All My Friends Are Finding New Beliefs,Christian Wiman,https://www.poetryfoundation.org/poetrymagazine/poems/151735/all-my-friends-are-finding-new-beliefs
The Mortician in San Francisco,Randall Mann,https://www.poetryfoundation.org/poems/55026/the-mortician-in-san-francisco
The Mission,Kevin Young,https://www.poetryfoundation.org/poetrymagazine/poems/52968/the-mission
The White Room,Charles Simic,https://www.poetryfoundation.org/poems/55188/the-white-room
Virtual,Tsering Wangmo Dhompa,https://www.poetryfoundation.org/poems/89486/virtual
Whereabouts,Martha Zweig,https://www.poetryfoundation.org/poetrymagazine/poems/53278/whereabouts
Congratulating Wedge,Alice Notley,https://www.poetryfoundation.org/poems/51206/congratulating-wedge
Iron,Elizabeth Acevedo,https://www.poetryfoundation.org/poetrymagazine/poems/146223/iron-5aa944cf8659e
The Road Not Taken,Robert Frost,https://www.poetryfoundation.org/poems/44272/the-road-not-taken
The Windhover,Gerard Manley Hopkins,https://www.poetryfoundation.org/poems/44402/the-windhover
gravity furnace,francine j. harris,https://www.poetryfoundation.org/poetrymagazine/poems/58802/gravity-furnace
Funny Strange,Jennifer Michael Hecht,https://www.poetryfoundation.org/poetrymagazine/poems/41986/funny-strange
Holy Shit,Peter Pereira,https://www.poetryfoundation.org/poems/51043/holy-shit
Cabin,Anne Waldman,https://www.poetryfoundation.org/poems/43030/cabin-56d221b37adf4
The Bloody Sire,Robinson Jeffers,https://www.poetryfoundation.org/poetrymagazine/poems/22770/the-bloody-sire
The End,Mark Strand,https://www.poetryfoundation.org/poems/52172/the-end-56d2306e43cbd
A Rhyme for Halloween,Maurice Kilwein Guevara,https://www.poetryfoundation.org/poems/56863/a-rhyme-for-halloween
On Reflection,Randall Horton,https://www.poetryfoundation.org/poems/146129/on-reflection
Casino,Joyce Sutphen,https://www.poetryfoundation.org/poems/51500/casino
Entire Known World So Far,Carl Phillips,https://www.poetryfoundation.org/poetrymagazine/poems/153794/entire-known-world-so-far
Vietnam Epic Treatment,Donald Revell,https://www.poetryfoundation.org/poems/54236/vietnam-epic-treatment
Infanta Marina,Wallace Stevens,https://www.poetryfoundation.org/poems/54231/infanta-marina
Comfort Animal,Joy Ladin,https://www.poetryfoundation.org/poetrymagazine/poems/148706/comfort-animal
Let Me Tell You What a Poem Brings,Juan Felipe Herrera,https://www.poetryfoundation.org/poems/52286/let-me-tell-you-what-a-poem-brings
The Exorcism,Joyce Sutphen,https://www.poetryfoundation.org/poems/51503/the-exorcism
Growing a Bear,Hannah Gamble,https://www.poetryfoundation.org/poetrymagazine/poems/56478/growing-a-bear
Main Na Bhoolunga,Fatimah Asghar,https://www.poetryfoundation.org/poetrymagazine/poems/149230/main-na-bhoolunga
Blanche Bruce Does the Modernism,Douglas Kearney,https://www.poetryfoundation.org/poetrymagazine/poems/57405/blanche-bruce-does-the-modernism
Night Music,Linda Gregg,https://www.poetryfoundation.org/poems/52235/night-music-56d230899789a
Time Traveler’s Haibun: 1989,Maureen Thorson,https://www.poetryfoundation.org/poems/149728/time-traveler39s-haibun-1989
Gaslight,Tom Raworth,https://www.poetryfoundation.org/poems/54606/gaslight-56d23524b953b
A Gift for You,Eileen Myles,https://www.poetryfoundation.org/poems/58024/a-gift-for-you
Because We Never Practiced With The Escape Chamber,Alice Fulton,https://www.poetryfoundation.org/poems/90151/because-we-never-practiced-with-the-escape-chamber
Afterword,Louise Glück,https://www.poetryfoundation.org/poetrymagazine/poems/55238/afterword-56d23699928fe
Lake Ontario Park,Sadiqa de Meijer,https://www.poetryfoundation.org/poetrymagazine/poems/56317/lake-ontario-park
The First Line is the Deepest,Kim Addonizio,https://www.poetryfoundation.org/poetrymagazine/poems/51987/the-first-line-is-the-deepest
To His Coy Mistress,Andrew Marvell,https://www.poetryfoundation.org/poems/44688/to-his-coy-mistress
"Composed upon Westminster Bridge, September 3, 1802",William Wordsworth,https://www.poetryfoundation.org/poems/45514/composed-upon-westminster-bridge-september-3-1802
Loony Bin Basketball,Mary Karr,https://www.poetryfoundation.org/poetrymagazine/poems/55943/loony-bin-basketball
A Poem for Ciaran,Fanny Howe,https://www.poetryfoundation.org/poems/58035/a-poem-for-ciaran
Underneath (13),Jorie Graham,https://www.poetryfoundation.org/poems/54781/underneath-13
Love Calls Us,Randall Mann,https://www.poetryfoundation.org/poems/147993/love-calls-us
White Buttons,Mary Ruefle,https://www.poetryfoundation.org/poetrymagazine/poems/54904/white-buttons
Ode to the Gain,Matthew Nienow,https://www.poetryfoundation.org/poetrymagazine/poems/56005/ode-to-the-gain
I Wandered Lonely as a Cloud,William Wordsworth,https://www.poetryfoundation.org/poems/45521/i-wandered-lonely-as-a-cloud
After the Angelectomy,Alice Fulton,https://www.poetryfoundation.org/poems/90153/after-the-angelectomy
Matisse,Gertrude Stein,https://www.poetryfoundation.org/poems/55214/matisse
Keough Hall,Francisco Aragón,https://www.poetryfoundation.org/poems/142211/keough-hall
Shalimar,Mary Ruefle,https://www.poetryfoundation.org/poetrymagazine/poems/54906/shalimar
[Immigration Headline],Javier Zamora,https://www.poetryfoundation.org/poetrymagazine/poems/150067/immigration-headline
[Immigration Headline],Javier Zamora,https://www.poetryfoundation.org/poetrymagazine/poems/150066/immigration-headline-5ce31b771668c
[Immigration Headline],Javier Zamora,https://www.poetryfoundation.org/poetrymagazine/poems/150065/immigration-headline-5ce31b094388a
Degrees of Gray in Philipsburg,Richard Hugo,https://www.poetryfoundation.org/poems/43088/degrees-of-gray-in-philipsburg
The House Was Quiet and The World Was Calm,Wallace Stevens,https://www.poetryfoundation.org/poems/57607/the-house-was-quiet-and-the-world-was-calm
Outshines Its Canopy of  Intent,Jane Miller,https://www.poetryfoundation.org/poetrymagazine/poems/147154/outshines-its-canopy-of-intent
murder on the gowanus,Julian Talamantez Brolaski,https://www.poetryfoundation.org/poems/54582/murder-on-the-gowanus
The Long Shadow of Lincoln: A Litany,Carl Sandburg,https://www.poetryfoundation.org/poems/53250/the-long-shadow-of-lincoln-a-litany
The Pear,Jane Hirshfield,https://www.poetryfoundation.org/poetrymagazine/poems/51062/the-pear-56d22e90258f9
Samurai Song,Robert Pinsky,https://www.poetryfoundation.org/poems/57103/samurai-song
New Endymion,W. S. Di Piero,https://www.poetryfoundation.org/poetrymagazine/poems/52960/new-endymion
“After Experience Taught Me ...”,W. D. Snodgrass,https://www.poetryfoundation.org/poems/42790/after-experience-taught-me-
The Lie,Anne Waldman,https://www.poetryfoundation.org/poems/43034/the-lie-56d221b48a40c
Essay on Craft,Ocean Vuong,https://www.poetryfoundation.org/poetrymagazine/poems/142852/essay-on-craft
Perfect Pitch,Peter Pereira,https://www.poetryfoundation.org/poems/51045/perfect-pitch-56d22e88d9822
Blind Boone's Vision,Tyehimba Jess,https://www.poetryfoundation.org/poems/90220/blind-boone39s-vision
In the Corridor,Saskia Hamilton,https://www.poetryfoundation.org/poetrymagazine/poems/55663/in-the-corridor
Any,George Bowering,https://www.poetryfoundation.org/poetrymagazine/poems/92659/any
The Dry Bones,Paul Hoover,https://www.poetryfoundation.org/poetrymagazine/poems/54399/the-dry-bones
Ode to Patrick Swayze,Tishani Doshi,https://www.poetryfoundation.org/poems/152743/ode-to-patrick-swayze
Sunshower,Natalie Shapero,https://www.poetryfoundation.org/poetrymagazine/poems/144598/sunshower-59df845de4a43
The Birth,Dorothea Lasky,https://www.poetryfoundation.org/poems/58029/the-birth
Hotel Lautréamont,John Ashbery,https://www.poetryfoundation.org/poems/52162/hotel-lautreamont
Stravinsky in L.A.,Elizabeth Alexander,https://www.poetryfoundation.org/poetrymagazine/poems/38295/stravinsky-in-la
"O, She Says",Hailey Leithauser,https://www.poetryfoundation.org/poetrymagazine/poems/52671/o-she-says
Life Cycle of Common Man,Howard Nemerov,https://www.poetryfoundation.org/poems/52768/life-cycle-of-common-man
Scrabble with Matthews,David Wojahn,https://www.poetryfoundation.org/poetrymagazine/poems/41686/scrabble-with-matthews
Cinderblock,Chase Twichell,https://www.poetryfoundation.org/poems/51006/cinderblock
I Make Promises Before I Dream,Tongo Eisen-Martin,https://www.poetryfoundation.org/poems/148064/i-make-promises-before-i-dream
“What Do Women Want?”,Kim Addonizio,https://www.poetryfoundation.org/poems/42520/what-do-women-want
To the voice of the retired warden of Huntsville Prison  (Texas death chamber),Averill Curdy,https://www.poetryfoundation.org/poetrymagazine/poems/52585/to-the-voice-of-the-retired-warden-of-huntsville-prison-texas-death-chamber
Pentatina for Five Vowels,Campbell McGrath,https://www.poetryfoundation.org/poetrymagazine/poems/55795/pentatina-for-five-vowels
Travel Papers,Carolyn Forché,https://www.poetryfoundation.org/poetrymagazine/poems/54338/travel-papers
Lustrum,Carl Phillips,https://www.poetryfoundation.org/poems/57123/lustrum
Scrim,David Ferry,https://www.poetryfoundation.org/poetrymagazine/poems/52147/scrim
last swan of avon,Julian Talamantez Brolaski,https://www.poetryfoundation.org/poems/54581/last-swan-of-avon
Unpack Poetic,Trevino L. Brings Plenty,https://www.poetryfoundation.org/poetrymagazine/poems/146691/unpack-poetic
Cocktails with Orpheus,Terrance Hayes,https://www.poetryfoundation.org/poetrymagazine/poems/50789/cocktails-with-orpheus
"from America, America",Saadi Youssef,https://www.poetryfoundation.org/poems/51128/america-america
LITTLE BLESSING FOR MY FLOATER,Jeanne Murray Walker,https://www.poetryfoundation.org/poetrymagazine/poems/42007/little-blessing-for-my-floater
Relating to Robinson,Weldon Kees,https://www.poetryfoundation.org/poems/47587/relating-to-robinson
The Binchōtan Charcoal & Its Ash,Vi Khi Nao,https://www.poetryfoundation.org/poetrymagazine/poems/149258/the-binchtan-charcoal-its-ash
The Funeral Sermon,Andrew Hudgins,https://www.poetryfoundation.org/poetrymagazine/poems/53560/the-funeral-sermon
Night Feeding,Muriel Rukeyser,https://www.poetryfoundation.org/poems/54597/night-feeding
Changing Places in the Fire,Li-Young Lee,https://www.poetryfoundation.org/poetrymagazine/poems/142890/changing-places-in-the-fire
[love is more thicker than forget],E. E. Cummings,https://www.poetryfoundation.org/poetrymagazine/poems/22224/love-is-more-thicker-than-forget
The Wild Swans at Coole,William Butler Yeats,https://www.poetryfoundation.org/poems/43288/the-wild-swans-at-coole
Sanctuary,Donika Kelly,https://www.poetryfoundation.org/poems/148205/sanctuary-5bc8e3630195d
I Walked in the House,Catherine Wagner,https://www.poetryfoundation.org/poems/54526/i-walked-in-the-house
First Love,John Clare,https://www.poetryfoundation.org/poems/50263/first-love-56d22d33757cd
"Radio Crackling, Radio Gone",Lisa Olstein,https://www.poetryfoundation.org/poems/50823/radio-crackling-radio-gone
Hail,Mary Szybist,https://www.poetryfoundation.org/poetrymagazine/poems/51800/hail
"Mary, Color Scientist",John Beer,https://www.poetryfoundation.org/poems/53665/mary-color-scientist
"Early Morning Prompts for Evening Takes Or, Roll ’em!",Rodrigo Toscano,https://www.poetryfoundation.org/poems/52707/early-morning-prompts-for-evening-takes-or-roll-em
The Big Loser,Max Ritvo,https://www.poetryfoundation.org/poetrymagazine/poems/90279/the-big-loser
A Way of Being,Barbara Guest,https://www.poetryfoundation.org/poems/43450/a-way-of-being
Hollow Boom Soft Chime: The Thai Elephant Orchestra,Sarah Lindsay,https://www.poetryfoundation.org/poetrymagazine/poems/54666/hollow-boom-soft-chime-the-thai-elephant-orchestra
To Summarize a Galaxy,beyza ozer,https://www.poetryfoundation.org/poetrymagazine/poems/150765/to-summarize-a-galaxy
Carrion Comfort,Gerard Manley Hopkins,https://www.poetryfoundation.org/poems/44392/carrion-comfort
The Halls,Mark Halliday,https://www.poetryfoundation.org/poems/55018/the-halls
Arrochar Alps,Marion McCready,https://www.poetryfoundation.org/poetrymagazine/poems/56699/arrochar-alps
To the Man Who Shouted “I Like Pork Fried Rice” at Me on the Street,Franny Choi,https://www.poetryfoundation.org/poetrymagazine/poems/56850/to-the-man-who-shouted-i-like-pork-fried-rice-at-me-on-the-street
Not Over It,Heather McHugh,https://www.poetryfoundation.org/poems/55334/not-over-it
Speak,Phillip B. Williams,https://www.poetryfoundation.org/poetrymagazine/poems/56570/speak
Then the War,Carl Phillips,https://www.poetryfoundation.org/poetrymagazine/poems/153793/then-the-war
Echo,Pura López-Colomé,https://www.poetryfoundation.org/poetrymagazine/poems/52403/echo-56d230d878bad
Filming the Doomsday Clock,Mary Jo Bang,https://www.poetryfoundation.org/poems/58319/filming-the-doomsday-clock
Cool gales shall fan the glades,Harry Mathews,https://www.poetryfoundation.org/poetrymagazine/poems/56986/cool-gales-shall-fan-the-glades
"My Galley, Charged with Forgetfulness",Sir Thomas Wyatt,https://www.poetryfoundation.org/poems/45584/my-galley-charged-with-forgetfulness
Ode on a Grecian Urn,John Keats,https://www.poetryfoundation.org/poems/44477/ode-on-a-grecian-urn
Togetherness,Yusef Komunyakaa,https://www.poetryfoundation.org/poetrymagazine/poems/42403/togetherness
Quiescence,Alyse Knorr,https://www.poetryfoundation.org/poems/151080/quiescence
Fever 103°,Sylvia Plath,https://www.poetryfoundation.org/poetrymagazine/poems/29479/fever-103
Dream in Which I Love a Third Baseman,Lisa Olstein,https://www.poetryfoundation.org/poems/51008/dream-in-which-i-love-a-third-baseman
Conversion Comedy,Ange Mlinko,https://www.poetryfoundation.org/poetrymagazine/poems/50798/conversion-comedy
Manuela,Juan Delgado,https://www.poetryfoundation.org/poems/56851/manuela
Wheel of Fire,Ishion Hutchinson,https://www.poetryfoundation.org/poetrymagazine/poems/91663/wheel-of-fire
Striplings,Atsuro Riley,https://www.poetryfoundation.org/poetrymagazine/poems/55950/striplings
In Memory of the Utah Stars,William Matthews,https://www.poetryfoundation.org/poems/53229/in-memory-of-the-utah-stars
The Hen Swallows a Worm or Slug,A. V. Christie,https://www.poetryfoundation.org/poetrymagazine/poems/52963/the-hen-swallows-a-worm-or-slug
Lazy,David Yezzi,https://www.poetryfoundation.org/poetrymagazine/poems/54088/lazy-56d2340a02360
[as freedom is a breakfastfood],E. E. Cummings,https://www.poetryfoundation.org/poems/52946/as-freedom-is-a-breakfastfood
“At nights birds hammered my unborn”,Ishion Hutchinson,https://www.poetryfoundation.org/poetrymagazine/poems/56877/at-nights-birds-hammered-my-unborn
Memorandum,W. S. Merwin,https://www.poetryfoundation.org/poems/52822/memorandum-56d23199a7d88
What I Learned From the Incredible Hulk,Aimee Nezhukumatathil,https://www.poetryfoundation.org/poems/56132/what-i-learned-from-the-incredible-hulk
From “Mankindness”,Christina Davis,https://www.poetryfoundation.org/poetrymagazine/poems/56294/from-mankindness
Mezzo Cammin,Henry Wadsworth Longfellow,https://www.poetryfoundation.org/poems/50629/mezzo-cammin
A Locked House,W. D. Snodgrass,https://www.poetryfoundation.org/poems/42796/a-locked-house
The Murder of William Remington,Howard Nemerov,https://www.poetryfoundation.org/poems/42692/the-murder-of-william-remington
Nights of 1964—1966: The Old Reliable,Marilyn Hacker,https://www.poetryfoundation.org/poems/51965/nights-of-1964-1966-the-old-reliable
Try to Praise the Mutilated World,Adam Zagajewski,https://www.poetryfoundation.org/poems/57095/try-to-praise-the-mutilated-world-56d23a3f28187
X Number,Chris Glomski,https://www.poetryfoundation.org/poems/149413/x-number
Kind of Blue,Lynn Powell,https://www.poetryfoundation.org/poetrymagazine/poems/42180/kind-of-blue
What It Sounds Like,Forrest Gander,https://www.poetryfoundation.org/poetrymagazine/poems/144807/what-it-sounds-like
"Agrippina the Younger, Age Thirteen",Diana Arterian,https://www.poetryfoundation.org/poems/146137/agrippina-the-younger-age-thirteen
Faint Music,Robert Hass,https://www.poetryfoundation.org/poems/48851/faint-music
kitchenette building,Gwendolyn Brooks,https://www.poetryfoundation.org/poems/43308/kitchenette-building
The Invisible Birds of Central America,Craig Arnold,https://www.poetryfoundation.org/poetrymagazine/poems/51691/the-invisible-birds-of-central-america
Cricket,Michael Hofmann,https://www.poetryfoundation.org/poetrymagazine/poems/52587/cricket
Burden Hill Apothecary & Babalú-Ayé Prepare Stinging Nettle Tea,L. Lamar Wilson,https://www.poetryfoundation.org/poetrymagazine/poems/156043/burden-hill-apothecary-babalu-aye-prepare-stinging-nettle-tea
Jean-Paul Belmondo,Valzhyna Mort,https://www.poetryfoundation.org/poetrymagazine/poems/53147/jean-paul-belmondo
White Phosphorus,Alice Notley,https://www.poetryfoundation.org/poems/51321/white-phosphorus
Homan and Chicago Ave.,Phillip B. Williams,https://www.poetryfoundation.org/poetrymagazine/poems/56572/homan-and-chicago-ave
CXIV,Sonnet L'Abbé,https://www.poetryfoundation.org/poetrymagazine/poems/144844/cxiv
Poet Wrestling with Her Empire of Dirt,Rosebud Ben-Oni,https://www.poetryfoundation.org/poetrymagazine/poems/148974/poet-wrestling-with-her-empire-of-dirt
End of Side A,Adrian Matejka,https://www.poetryfoundation.org/poetrymagazine/poems/55658/end-of-side-a
To Frank Parker,Robert Lowell,https://www.poetryfoundation.org/poems/54178/to-frank-parker
To Robert Hayden,Eduardo C. Corral,https://www.poetryfoundation.org/poetrymagazine/poems/55211/to-robert-hayden
artificial death,Roberto Harrison,https://www.poetryfoundation.org/poems/146130/artificial-death
When I have Fears That I May Cease to Be,John Keats,https://www.poetryfoundation.org/poems/44488/when-i-have-fears-that-i-may-cease-to-be
Hidden Harvest,Rodrigo Toscano,https://www.poetryfoundation.org/poems/52709/hidden-harvest
Triple Sonnet for Black Hair,Dorothy Chan,https://www.poetryfoundation.org/poetrymagazine/poems/151149/triple-sonnet-for-black-hair
Queerodactyl,Roy G. Guzmán,https://www.poetryfoundation.org/poetrymagazine/poems/144620/queerodactyl-59e4e3e2c2d7a
Queerodactyl,Roy G. Guzmán,https://www.poetryfoundation.org/poetrymagazine/poems/144623/queerodactyl
Queerodactyl,Roy G. Guzmán,https://www.poetryfoundation.org/poetrymagazine/poems/144622/queerodactyl-59e4e4960601a
The Speaking Tree,Muriel Rukeyser,https://www.poetryfoundation.org/poems/54594/the-speaking-tree
Speculations about “I”,Toi Derricotte,https://www.poetryfoundation.org/poetrymagazine/poems/90292/speculations-about-i
Robinson,Weldon Kees,https://www.poetryfoundation.org/poems/47579/robinson
"Yr Not Exotic, but Once Ya Wanted to Be",Tarfia Faizullah,https://www.poetryfoundation.org/poetrymagazine/poems/148373/yr-not-exotic-but-once-ya-wanted-to-be
Dancing with Strom,Nikky Finney,https://www.poetryfoundation.org/poems/55992/dancing-with-strom
Fra Lippo Lippi,Robert Browning,https://www.poetryfoundation.org/poems/43755/fra-lippo-lippi
A Little Closer to the Edge,Ocean Vuong,https://www.poetryfoundation.org/poetrymagazine/poems/88734/a-little-closer-to-the-edge
Headless Mama Returns (Xmas ’18 Redux),Jenn Givhan,https://www.poetryfoundation.org/poetrymagazine/poems/151490/headless-mama-returns-xmas-18-redux
In Time,W. S. Merwin,https://www.poetryfoundation.org/poetrymagazine/poems/40721/in-time
A Prayer for My Daughter,William Butler Yeats,https://www.poetryfoundation.org/poetrymagazine/poems/14635/a-prayer-for-my-daughter
Nina's Blues,Cornelius Eady,https://www.poetryfoundation.org/poems/49355/ninas-blues
The Book of Non-Writing ﻿,Daniel Borzutzky,https://www.poetryfoundation.org/poems/54591/the-book-of-non-writing-
This Is a Shout Out (For the Tenants of the Red Little Building on Ocean Avenue),Amber Atiya,https://www.poetryfoundation.org/poems/58022/this-is-a-shout-out-for-the-tenants-of-the-red-little-building-on-ocean-avenue
Venus and the Ark,Anne Sexton,https://www.poetryfoundation.org/poems/53114/venus-and-the-ark
My Last Duchess,Robert Browning,https://www.poetryfoundation.org/poems/43768/my-last-duchess
To Autumn,John Keats,https://www.poetryfoundation.org/poems/44484/to-autumn
Our Vanishing,Joyce Peseroff,https://www.poetryfoundation.org/poems/57963/our-vanishing
Mapping the Genome,Michael Symmons Roberts,https://www.poetryfoundation.org/poetrymagazine/poems/41869/mapping-the-genome
In a Daydream of Being the Big House Missus,Justin Phillip Reed,https://www.poetryfoundation.org/poems/149078/in-a-daydream-of-being-the-big-house-missus
Chatty Cathy Villanelle,David Trinidad,https://www.poetryfoundation.org/poems/51150/chatty-cathy-villanelle
Self-Portrait at 38,Jennifer Tonge,https://www.poetryfoundation.org/poetrymagazine/poems/42418/self-portrait-at-38
Contemporaries and Snobs,Prageeta Sharma,https://www.poetryfoundation.org/poems/57801/contempories-and-snobs
"My Great-Great-Great-Great-Grandfather Who Owned My Great-Great-Great-Great-Grandmother Also Owned a Jewelry Store and a Railroad, So He Probably Had a Dope Watch",Jason McCall,https://www.poetryfoundation.org/poetrymagazine/poems/156070/my-great-great-great-great-grandfather-who-owned-my-great-great-great-great-grandmother-also-owned-a-jewelry-store-and-a-railroad-so-he-probably-had-a-dope-watch
The Damned,Roddy Lumsden,https://www.poetryfoundation.org/poetrymagazine/poems/51939/the-damned-56d230074cf66
Apricot Lament,Tacey M. Atsitty,https://www.poetryfoundation.org/poetrymagazine/poems/146685/apricot-lament
Mysticism for Beginners,Adam Zagajewski,https://www.poetryfoundation.org/poems/57091/mysticism-for-beginners
What is it to be human?,Waldo Williams,https://www.poetryfoundation.org/poetrymagazine/poems/50925/what-is-it-to-be-human
Heat,Jane Hirshfield,https://www.poetryfoundation.org/poems/47094/heat-56d2274e2d783
Sparrow Trapped in the Airport,Averill Curdy,https://www.poetryfoundation.org/poetrymagazine/poems/46486/sparrow-trapped-in-the-airport
Temptation of the Rope,Reginald Dwayne Betts,https://www.poetryfoundation.org/poems/144226/temptation-of-the-rope
God's Grandeur,Gerard Manley Hopkins,https://www.poetryfoundation.org/poems/44395/gods-grandeur
If—,Rudyard Kipling,https://www.poetryfoundation.org/poems/46473/if---
"""Man / Dela""",Thomas Sayers Ellis,https://www.poetryfoundation.org/poems/58041/man-56d23c1271833
The Burning Girl,Mary Karr,https://www.poetryfoundation.org/poetrymagazine/poems/118558/the-burning-girl
Little God Origami,Stefi Weisburd,https://www.poetryfoundation.org/poetrymagazine/poems/42260/little-god-origami
original [sin],Alison C. Rollins,https://www.poetryfoundation.org/poetrymagazine/poems/90972/original-sin-57f673456fb35
Our Side of the Creek,Yusef Komunyakaa,https://www.poetryfoundation.org/poetrymagazine/poems/90659/our-side-of-the-creek
The Giant Slide,Ted Kooser,https://www.poetryfoundation.org/poems/42634/the-giant-slide
The Beach in August,Weldon Kees,https://www.poetryfoundation.org/poems/53032/the-beach-in-august
The Stags,Kathleen Jamie,https://www.poetryfoundation.org/poetrymagazine/poems/55800/the-stags
Elegy,Joanna Klink,https://www.poetryfoundation.org/poems/145390/elegy-5a57dc4e1b40f
A Summer Garden,Louise Glück,https://www.poetryfoundation.org/poetrymagazine/poems/55237/a-summer-garden
Song & Error,Averill Curdy,https://www.poetryfoundation.org/poetrymagazine/poems/52586/song-error
Philosophia Perennis,Anne Waldman,https://www.poetryfoundation.org/poems/43035/philosophia-perennis
Orange Blood,David Trinidad,https://www.poetryfoundation.org/poems/90620/orange-blood
Kindness,Yusef Komunyakaa,https://www.poetryfoundation.org/poetrymagazine/poems/41786/kindness-56d22013a8d03
Personally Engraved,Alice Fulton,https://www.poetryfoundation.org/poetrymagazine/poems/56464/personally-engraved
What Work Is,Philip Levine,https://www.poetryfoundation.org/poems/52173/what-work-is
Wilderness,Carl Sandburg,https://www.poetryfoundation.org/poems/53233/wilderness
Conversation 9: On Varieties of Oblivion,Rosmarie Waldrop,https://www.poetryfoundation.org/poems/53466/conversation-9-on-varieties-of-oblivion
Not Even This,Ocean Vuong,https://www.poetryfoundation.org/poetrymagazine/poems/152940/not-even-this
Elegy a Little,Donald Revell,https://www.poetryfoundation.org/poems/51476/elegy-a-little
Resistance,Traci Brimhall,https://www.poetryfoundation.org/poetrymagazine/poems/148960/resistance
Parachute,Maggie Smith,https://www.poetryfoundation.org/poems/146753/parachute-5af46d62188fa
This Is Why People Burning Down Fast Food Joints and Whatnot,Jacqueline Allen Trimble,https://www.poetryfoundation.org/poetrymagazine/poems/156066/this-is-why-people-burning-down-fast-food-joints-and-whatnot
On Antiphon Island,Nathaniel Mackey,https://www.poetryfoundation.org/poems/53095/on-antiphon-island
Life Story,Tennessee Williams,https://www.poetryfoundation.org/poems/50045/life-story-56d22cc476c2b
Some Material May Be Inappropriate For Children,Jeffrey Jullich,https://www.poetryfoundation.org/poems/53651/some-material-may-be-inappropriate-for-children
War the War,Jack Underwood,https://www.poetryfoundation.org/poetrymagazine/poems/147874/war-the-war
Jewel Thief Movie,Patricia Lockwood,https://www.poetryfoundation.org/poetrymagazine/poems/143938/jewel-thief-movie
